Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-114.30712	286.7273	-2.1648877	-1448.2502	-857.56433	316.7094	-2.6215653	-1176.825	80.28571	900.1	3999	-5.940988	3.0594501	1.4662355	-12.431257	5.419814	0.35925025	148.1090748310089
2	-194.5558	305.8158	-2.3706372	-1088.0938	-898.696	226.2806	-473.5384	-1226.2787	143.92857	850.3	7999	-13.862988	1.3742155	-6.9244986	-17.191938	12.928991	1.1305742	294.44576621055603
3	-252.72685	413.31265	-2.313944	-1319.4722	-803.64276	464.01083	-2.132543	-1352.6735	211.36842	724.7	11999	-17.826828	2.139641	-8.239677	-24.161932	17.107267	1.8494927	425.60225772857666
4	-1130.6355	208.98752	-867.74603	-1360.6602	-941.45294	375.8697	-1.7562209	-1280.0642	1000.0	842.8	15999	-27.178572	3.1459994	-7.4726286	-36.229866	26.83491	3.595925	569.0673587322235
5	-1004.3611	228.69461	-770.93005	-1242.0408	-933.94025	162.02362	-750.8633	-1326.9354	1000.0	1000.0	19999	-36.752403	2.6645832	-7.285717	-46.29638	36.47924	5.23018	729.7441730499268
6	-911.9812	183.72054	-741.6966	-1207.2574	-969.2643	206.46089	-577.30444	-1233.4058	896.0	937.9	23999	-44.080345	2.3092468	-3.2406201	-54.997105	43.80208	6.205136	883.9852333068848
7	-1049.4093	176.63673	-827.68274	-1321.5105	-971.2757	243.26486	-613.30133	-1339.4716	960.0	876.0	27999	-48.726585	2.03441	-4.5247846	-59.42731	48.392387	6.611859	1030.9979906082153
8	-668.86035	543.2433	-2.6658092	-1429.0044	-192.84253	403.42877	-2.1041193	-1349.0934	565.125	137.3	31999	-42.923134	12.036464	20.308855	-59.038017	40.76891	7.334704	1095.990651845932
9	-169.76526	349.05334	-2.4761271	-1329.8191	-125.70852	328.8116	-2.1902733	-1109.7828	125.32143	95.3	35999	-20.446451	11.005502	31.211359	-51.98466	19.806753	26.126503	1156.8025205135345
10	-212.85341	418.9139	-2.1246264	-1418.5194	-226.95393	437.5033	-1.8786188	-1390.4344	147.10715	166.5	39999	-29.74193	10.339147	19.785425	-55.857685	28.925533	17.882288	1226.058052778244
11	-302.7153	385.3403	-2.236391	-1254.0981	-225.21025	307.00745	-2.3678956	-1020.0271	242.0	190.5	43999	-14.262868	10.797458	11.80776	-48.086723	12.074079	6.4119635	1298.234765291214
