Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-176.3508	304.24042	-2.6052108	-1291.2002	-486.8025	541.92126	-2.2278266	-1350.8477	130.10715	374.5	3999	-4.6503963	1.6526204	0.3338349	-8.390672	3.6630886	0.20620994	97.62406873703003
2	-274.78275	464.25665	-1.9699923	-1419.4233	-196.90372	242.65918	-2.1289814	-680.3638	195.45454	187.4	7999	-5.903901	1.1973633	-1.2631845	-8.931363	4.616894	0.2682151	175.1106894016266
3	-333.799	437.42215	-2.372016	-1479.774	-14.547628	27.536373	-2.65961	-96.54789	286.85715	12.0	11999	-6.7611113	1.6563268	-0.28517658	-11.828974	5.59898	0.3694252	234.90375113487244
4	-158.4452	264.55005	-2.3739023	-1031.1193	-249.29398	351.3994	-3.3002377	-845.21466	154.6923	287.5	15999	-12.372577	2.7713795	0.68875957	-19.136719	11.505705	0.9842053	325.7941861152649
5	-210.04878	370.03812	-2.2498102	-1253.0745	-251.7375	403.9032	-2.6301343	-1105.8536	159.0	226.2	19999	-15.752442	3.1123414	1.5993845	-21.828968	14.771037	1.8533642	410.78969955444336
6	-118.7366	258.923	-1.5920407	-1092.7565	-123.378006	270.9155	-2.8682559	-919.0378	98.521736	121.7	23999	-15.83917	2.8705971	2.484136	-24.792322	14.781468	1.8376658	484.1775529384613
7	-83.20055	185.11595	-2.090001	-949.21466	-196.10254	396.19144	-2.6022704	-1324.137	62.153847	148.7	27999	-17.408043	3.294198	7.7090616	-25.461332	16.465433	2.6914122	561.3042905330658
8	-201.1534	381.37195	-2.003686	-1629.3048	-134.63101	315.92416	-2.9631746	-1066.5686	156.03703	121.7	31999	-16.605892	3.7540581	1.916642	-25.297802	15.449426	2.6405852	634.594313621521
9	-261.95923	391.61987	-2.520342	-1210.6393	-160.949	285.34283	-2.983192	-1001.6879	237.47058	140.8	35999	-17.671177	4.2355905	4.970163	-25.422697	16.838312	2.2350478	710.0816349983215
10	-67.92176	142.92572	-2.002552	-828.0576	-225.33904	427.2543	-2.1139123	-1155.0239	62.75	193.6	39999	-18.855503	5.0178013	2.8361907	-26.155983	17.860813	2.8694537	792.0204312801361
11	-135.24365	313.40137	-2.076318	-1345.7805	-121.55233	228.01947	-1.6631249	-770.299	104.78125	100.0	43999	-16.296957	4.8485007	9.711137	-24.502281	15.21763	2.8781755	862.5202732086182
12	-180.85985	356.95383	-2.1021295	-1081.4231	-71.33168	200.18727	-2.338871	-671.86005	176.08696	66.8	47999	-18.121586	5.607901	14.821354	-27.443708	17.373484	3.2535415	929.3658304214478
13	-127.88043	289.31128	-2.15501	-1118.0514	-196.62592	322.75974	-2.0257137	-948.5179	119.0	167.4	51999	-20.417425	6.317943	15.494883	-29.885128	19.45901	4.835685	1007.899288892746
14	-132.99019	308.34525	-2.297628	-1131.3889	-229.13834	406.5297	-2.8072312	-1094.7162	115.19444	207.3	55999	-20.139568	6.253475	15.06518	-28.761982	19.261234	4.4024725	1091.24729514122
15	-98.9195	236.9559	-1.5830866	-1140.23	-130.42221	285.22067	-2.4705703	-964.6043	83.296295	116.5	59999	-21.222088	5.661789	10.1222725	-31.713911	20.369856	3.89102	1163.7069256305695
16	-99.20613	271.41113	-1.9704534	-1096.286	-318.3388	412.1841	-2.7408774	-1112.7877	88.0	250.8	63999	-21.321747	5.4715557	6.246039	-30.304659	20.432499	3.8428788	1251.5416967868805
17	-177.21632	288.64957	-1.7114708	-1118.7029	-163.14539	320.60587	-2.369276	-993.4426	151.67741	136.4	67999	-21.071083	6.133145	8.34912	-31.30304	20.144405	4.3246017	1326.649644613266
18	-79.10512	194.42722	-2.188186	-1140.1422	-83.524345	166.82497	-2.5940108	-548.81354	64.62069	67.7	71999	-21.21934	5.649849	51.336975	-29.811916	20.41579	3.8379664	1395.9041156768799
19	-185.86073	386.30066	-2.008869	-1101.511	-53.441242	64.28922	-1.9680557	-165.57019	165.43478	40.2	75999	-23.163095	6.0658255	33.77076	-33.181248	22.35781	4.195193	1459.933613538742
20	-127.325584	321.0072	-2.016931	-1203.2098	-145.68637	267.75842	-2.279356	-892.6032	105.30769	120.1	79999	-23.839773	6.761543	6.4108763	-34.2532	23.028015	4.9800596	1533.9564826488495
21	-264.08728	394.1385	-2.6801593	-1160.3037	-5.166978	3.4518669	-2.5216947	-13.316663	221.22223	2.4	83999	-24.554562	7.1552405	13.200155	-34.853386	23.729872	5.467887	1593.8746016025543
22	-93.89362	210.5342	-1.3966143	-1117.0789	-78.26708	85.28576	-2.6120036	-204.78732	74.76	57.8	87999	-25.119772	7.3815517	16.26386	-36.195942	24.313879	5.6101193	1661.8344259262085
23	-240.1152	384.52264	-2.149882	-1090.7931	-22.180237	32.52007	-2.8226259	-99.291435	219.57143	16.8	91999	-25.82786	6.9503074	9.862378	-35.980827	25.075794	5.036867	1724.1221046447754
24	-400.56134	435.65097	-3.0228674	-1118.3838	-216.65752	378.53644	-2.1048272	-1062.61	345.27274	190.6	95999	-26.077585	6.6474957	10.847136	-37.044018	25.17287	5.455786	1805.065904378891
25	-132.5209	257.02502	-2.0953245	-1064.2524	-206.77205	279.71588	-2.9359949	-833.65234	122.44827	209.1	99999	-26.019093	6.30733	9.445839	-36.826927	25.30746	4.374108	1889.4045448303223
26	-182.98346	328.9607	-1.8855917	-937.53796	-162.79381	226.2862	-3.727509	-749.75116	197.7619	163.4	103999	-26.848698	6.530515	14.441311	-38.042526	26.074934	4.4419036	1969.1204452514648
27	-236.50899	337.72583	-1.8992352	-908.26984	-270.69476	393.57822	-2.2114027	-1023.5341	252.25	236.3	107999	-27.45843	7.7838035	20.933327	-38.164326	26.737003	5.5476885	2055.3732538223267
28	-118.30355	235.6075	-2.0362773	-823.53906	-219.597	288.83554	-2.0979397	-780.11664	121.37838	241.6	111999	-28.314325	7.6649013	15.686489	-40.078983	27.54027	5.935622	2143.187599658966
29	-111.093124	212.08699	-2.1167884	-929.75494	-194.44186	317.38608	-2.4113786	-991.52094	110.666664	177.1	115999	-28.583223	7.7492995	14.587361	-40.828384	27.879793	5.8385534	2223.547922849655
30	-95.41637	243.31377	-1.6221137	-1002.4013	-123.05635	327.68274	-2.3622997	-1104.9937	88.93617	107.9	119999	-29.91581	8.141461	11.000697	-42.799633	29.2522	6.485833	2296.6738498210907
31	-198.81833	364.97882	-2.1452606	-1031.807	-120.07314	243.49963	-2.5648656	-828.57745	182.94444	135.3	123999	-31.131203	8.748053	31.627241	-44.3993	30.407402	7.269181	2371.9861924648285
32	-158.59831	312.0339	-2.0210185	-1097.3054	-19.051754	47.047	-2.1952248	-160.15366	153.19354	9.8	127999	-31.48498	9.051704	14.938788	-49.488773	30.830523	7.3357887	2433.855264186859
33	-139.94002	242.26111	-2.3223646	-828.2061	-151.40302	221.56696	-2.5688932	-698.396	135.0	96.3	131999	-32.582592	9.551611	11.13439	-45.92451	31.908308	7.698886	2505.362133026123
34	-186.96939	286.17087	-1.2926642	-900.7758	-230.26384	309.1999	-2.1393318	-861.56244	178.39131	237.9	135999	-32.402138	8.748938	14.2715435	-46.50909	31.71149	7.2895555	2593.1678738594055
35	-175.58043	340.53284	-1.5528461	-1005.8151	-195.41765	376.89224	-2.0785334	-1189.99	176.60869	158.9	139999	-32.18066	8.697474	19.596842	-46.991447	31.426426	7.2801347	2672.600432395935
36	-126.24955	299.08572	-1.6542566	-1236.9202	-114.40208	330.0487	-2.2011607	-1104.5249	101.297295	101.9	143999	-29.82714	8.115972	18.196737	-42.10306	28.960583	6.110475	2745.7808318138123
37	-191.40341	381.10272	-2.1183693	-1275.3137	-295.5928	394.18384	-2.1590881	-1194.8611	148.33333	238.9	147999	-29.323103	8.422233	13.666147	-42.355953	28.66152	6.4233384	2834.711010694504
38	-108.89175	263.53873	-1.7209405	-1232.3168	-67.17428	165.60081	-2.292456	-562.4895	86.708336	44.9	151999	-32.018574	8.930003	14.27186	-45.088158	31.40404	6.85674	2902.378139734268
39	-137.72072	325.78674	-1.333094	-1540.3657	-58.312325	121.39392	-2.0772326	-389.75766	93.375	46.7	155999	-30.35817	8.247076	14.336282	-43.709927	29.506018	6.6511865	2970.0280196666718
40	-103.45057	216.36684	-2.0333142	-995.1344	-43.128357	89.71908	-2.2870803	-293.73767	89.64865	33.4	159999	-31.992453	8.698804	21.57503	-45.38812	31.421804	6.3978214	3036.404398202896
41	-93.02662	240.2651	-1.353	-1075.8434	-73.280136	185.79843	-1.5285608	-626.7001	85.293106	71.0	163999	-33.50599	9.466669	14.476163	-48.51508	32.78567	7.359238	3109.2578122615814
42	-122.16358	274.03946	-2.1064138	-1082.5419	-127.831764	216.03212	-2.5102313	-620.47705	105.51613	110.4	167999	-31.24763	9.059452	21.925817	-45.71968	30.377895	7.1256523	3186.0024065971375
43	-113.8514	316.02917	-2.0943441	-1159.4636	-299.90097	463.03015	-2.4068012	-1153.0171	100.76744	262.9	171999	-29.635067	7.6865067	12.418657	-42.718327	28.88156	6.091719	3279.3280165195465
44	-92.63446	244.06921	-1.984958	-1316.355	-131.14944	370.45398	-2.0612535	-1242.2574	73.13725	104.1	175999	-29.63898	7.702394	17.101667	-43.019855	28.898472	5.9477453	3355.4090979099274
45	-61.16924	197.15665	-1.6119423	-1249.9773	-113.82308	142.3223	-2.6967382	-457.35278	49.666668	105.9	179999	-30.62515	8.5401	15.036248	-43.296337	29.94846	6.513095	3430.570434808731
46	-287.3982	421.99323	-2.5569139	-1144.4232	-11.990866	17.459497	-2.200634	-51.09521	255.1875	6.7	183999	-30.942684	8.891139	18.865726	-44.395836	30.219612	6.5973635	3493.522015810013
47	-74.932335	195.25616	-1.8268604	-1320.8715	-40.67217	111.877525	-1.7441423	-376.27277	55.892307	29.1	187999	-30.813314	8.8039665	18.15396	-43.829712	30.042225	6.9867616	3559.6815931797028
48	-190.23123	323.7954	-2.0054708	-1095.7712	-171.7342	362.0214	-2.35649	-1211.9314	161.62962	133.6	191999	-29.833477	8.101762	14.590099	-43.09877	29.106682	6.3629994	3639.201659679413
49	-85.595856	227.4903	-1.5917174	-1448.6018	-120.707436	339.80566	-2.1870277	-1139.836	64.416664	94.5	195999	-30.599232	7.9103985	17.129688	-44.98409	29.946312	6.4340644	3714.330642223358
50	-105.82204	280.50272	-2.2246401	-1260.1001	-60.605267	78.83114	-1.9923111	-210.46625	92.79487	57.6	199999	-32.589664	9.024409	15.819509	-45.450153	31.956312	6.8837814	3785.102471113205
