Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-264.99408	436.6311	-2.4617062	-1436.78	-117.834435	298.42456	-2.273977	-1008.58984	189.95	111.3	3999	-5.4517007	2.0654328	0.33619976	-9.419017	4.557091	0.13184713	67.26721000671387
2	-255.79056	461.18527	-2.505816	-1537.4723	-155.00829	321.25916	-1.9416234	-1085.45	189.05	129.9	7999	-8.36976	0.76496595	-2.6157506	-10.800396	7.0954094	0.2149814	136.0829839706421
3	-190.80388	359.62296	-2.5275273	-1522.8134	-246.23601	332.39227	-1.8414128	-770.7767	148.10345	292.2	11999	-9.649106	1.483285	-1.5910531	-14.5430765	8.546306	0.3121255	223.3350908756256
4	-106.61439	210.89818	-1.5524511	-904.9242	-301.1714	465.32108	-2.6109092	-1242.0466	99.48781	247.0	15999	-14.91726	2.3618522	18.376589	-20.908472	14.042059	1.3307639	307.0604479312897
5	-192.07692	319.27768	-2.5005724	-1042.6659	-64.104904	170.6094	-2.1556365	-574.63257	175.0	76.9	19999	-18.52205	2.6653821	10.701108	-23.169514	17.604567	2.1027386	371.93881702423096
6	-304.34763	328.44653	-2.119987	-946.0664	-3.117731	0.6135575	-2.2255063	-4.25915	324.0	1.1	23999	-20.268347	3.043134	2.5256739	-25.455164	19.441273	2.1705582	426.69487166404724
7	-192.85352	322.0646	-1.6537023	-1067.8588	-170.22395	271.12558	-2.7240167	-824.349	171.40741	141.7	27999	-24.765135	4.254604	3.1177022	-32.325405	24.057472	3.530684	497.5559902191162
8	-218.89268	361.32068	-1.6464566	-1251.9558	-178.9834	323.76654	-1.7352448	-1066.7847	175.22728	138.3	31999	-24.216366	4.4432597	3.637867	-32.180305	23.332281	3.6681323	567.5483825206757
9	-204.03262	389.05695	-1.7760948	-1258.8535	-355.4546	406.76022	-2.6235225	-1043.3843	173.5238	333.3	35999	-24.887915	4.4785843	2.9117882	-31.905216	24.021887	3.9879782	660.7262845039368
10	-179.36642	303.4865	-2.0078716	-1098.7203	-165.13887	341.08447	-1.5965456	-1161.1476	150.96774	137.0	39999	-24.639738	4.4411225	1.0508876	-31.79768	23.757128	3.7139356	730.8175888061523
11	-191.106	351.02045	-1.6075629	-1127.2295	-125.6422	321.08698	-2.7344356	-1087.149	168.45454	112.3	43999	-24.821665	4.565347	2.5922744	-32.890667	24.030481	3.8682694	797.8676769733429
12	-92.24403	226.85808	-1.705221	-1021.11127	-166.67218	236.93912	-2.3885155	-718.93243	87.510635	166.9	47999	-25.724607	5.2470245	-0.6406152	-35.309853	24.94125	4.2205076	871.6256303787231
13	-184.84169	300.23233	-3.0866122	-849.6611	-52.731037	83.97043	-2.673074	-262.40582	207.19048	53.6	51999	-27.004032	5.247167	-0.28514588	-37.427444	26.283644	4.2490773	931.9815897941589
14	-166.67526	244.38025	-2.95967	-806.41315	-112.98677	141.15498	-2.182601	-340.25525	191.17647	108.2	55999	-27.832497	5.8075385	13.865251	-38.060394	27.088142	4.6050467	998.7627756595612
15	-152.45682	282.54102	-2.691219	-1015.5239	-148.87051	198.84712	-2.6143508	-646.8525	158.16667	149.3	59999	-28.79101	5.3880405	6.0302577	-40.519787	28.093737	4.553985	1070.4940919876099
16	-103.71323	239.23297	-2.0774755	-979.47797	-152.68547	310.47943	-2.2602534	-1024.6357	93.47619	134.5	63999	-28.559547	5.0724816	8.943661	-42.293434	27.723827	4.5408893	1140.7835235595703
17	-244.51967	391.931	-2.2432828	-1154.2736	-165.22972	360.22845	-2.140807	-1221.0546	210.5	136.0	67999	-27.566216	5.2712517	13.200208	-36.130405	26.805246	4.5425234	1210.879734992981
18	-226.98575	417.64886	-2.079299	-1231.3276	-250.06084	379.7981	-2.2424424	-995.0235	190.0	249.2	71999	-28.313684	5.409944	11.184432	-36.943558	27.700134	4.3457274	1293.8434493541718
19	-95.89882	207.23535	-1.9412522	-1024.49	-191.12297	260.68585	-2.3617375	-696.68646	89.45	181.1	75999	-29.867517	6.130807	10.52755	-39.299934	29.192997	5.1434255	1369.2624843120575
20	-66.60935	179.41806	-2.1766336	-999.94775	-125.14671	288.7584	-2.4607937	-981.59827	62.49206	115.3	79999	-30.57477	6.1920404	10.831604	-38.05591	29.925106	5.317351	1437.648116350174
21	-263.17252	399.98608	-2.0711997	-1032.2544	-105.81205	158.73224	-2.9475818	-498.4532	264.70587	99.1	83999	-31.653746	6.9008365	12.69115	-39.69342	31.016708	5.9757113	1503.5326519012451
22	-233.14314	398.6603	-2.0041084	-1166.6932	-151.07065	226.13986	-2.5050957	-595.22955	199.21053	109.8	87999	-31.79844	6.490661	8.52503	-40.12889	31.098114	5.715491	1570.9207739830017
