Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-136.24713	310.9032	-2.298925	-1426.9741	-33.42369	47.108814	-1.5159762	-117.79374	94.902435	19.9	3999	-4.353892	1.3150158	0.06484883	-7.342982	3.2740476	0.12230284	58.95272350311279
2	-132.7104	244.49823	-2.3589659	-1031.3507	-135.66356	194.1471	-2.232451	-647.1334	98.2	153.3	7999	-5.786254	1.0348281	-0.3187471	-8.525771	4.5167727	0.18791032	136.0638177394867
3	-188.02528	339.1401	-2.3036282	-1414.0927	-191.67175	325.47946	-2.1866395	-843.5482	156.86363	222.2	11999	-6.9297676	1.5821387	-0.094111115	-11.78866	5.8025846	0.3295011	223.0414571762085
4	-298.539	353.737	-4.9926524	-1118.0366	-177.79759	329.88672	-2.1137965	-982.9307	290.26666	184.1	15999	-8.20503	1.8453956	1.3540685	-12.814387	7.040131	0.65423286	306.42876267433167
5	-233.90012	376.31586	-2.3450766	-1036.0825	-130.45093	279.57474	-2.2945955	-953.3985	233.66667	130.6	19999	-8.883679	1.8747792	9.024584	-13.33111	7.78988	0.7885798	383.1509439945221
6	-131.87505	284.3884	-1.9711874	-1227.8541	-201.50964	369.69073	-2.3870983	-1230.3859	115.94118	145.8	23999	-10.06537	2.2522528	2.310506	-16.779285	9.049609	1.2273474	461.51291155815125
7	-191.98402	339.38995	-1.7386101	-1203.6537	-382.83783	440.5183	-2.700539	-1334.4902	168.52	331.4	27999	-10.800917	2.4945219	5.171016	-16.165834	9.638321	1.2620186	560.2447493076324
8	-182.97162	326.99335	-2.321125	-1381.9562	-438.29843	457.95547	-2.1145163	-1100.5616	162.22728	408.7	31999	-10.257467	3.1063814	6.55806	-35.28428	9.406082	1.1326598	667.6191473007202
9	-395.43964	430.21674	-3.526714	-1072.7769	-405.09073	448.83954	-2.6719446	-1397.6556	382.81818	334.7	35999	-10.846587	3.7941134	8.956516	-19.334583	9.687824	2.101502	766.9323492050171
10	-444.10007	376.00635	-2.5833554	-1147.8716	-255.53317	321.673	-2.8877578	-871.0919	396.77777	272.2	39999	-11.771719	3.2099516	6.288892	-18.877512	10.8864355	1.3057566	859.7302622795105
11	-192.81741	294.91486	-2.014236	-946.22473	-115.29806	308.435	-2.3223193	-1038.7246	204.83333	106.7	43999	-12.299795	3.650815	4.7306204	-19.621376	11.313016	1.7680023	934.1637742519379
12	-78.50804	206.47813	-1.8260245	-1088.1367	-161.35947	290.60968	-2.3123746	-818.8267	68.71186	187.1	47999	-14.642158	3.559434	4.7796144	-21.679737	13.891031	1.3020742	1018.2379610538483
13	-167.05936	333.2632	-1.8303331	-1082.9329	-131.36557	256.07996	-2.056169	-888.29486	161.37038	132.1	51999	-14.42931	5.128417	9.982781	-23.81565	13.280332	2.7061841	1095.8974487781525
14	-185.40448	279.4893	-2.0802424	-849.82794	-129.97115	284.37662	-3.3881457	-958.2993	199.59091	128.2	55999	-11.682844	5.136176	12.202703	-20.52074	10.683179	3.3510401	1173.816992521286
15	-104.88196	201.70055	-2.2686462	-822.82733	-478.45718	563.7079	-2.2845757	-1305.8715	96.72727	363.7	59999	-13.824216	3.5180867	8.68634	-20.5994	13.050229	1.5998341	1277.5999748706818
16	-110.73601	269.93903	-2.1374075	-1224.1053	-78.248344	74.70656	-2.4294217	-186.2011	93.44231	73.9	63999	-14.659757	3.7809045	7.5275974	-22.027657	13.764889	1.8320065	1349.7834918498993
17	-179.92278	361.1188	-2.0775537	-1060.713	-181.57454	400.32248	-2.2172706	-1372.9097	168.625	128.7	67999	-13.981241	4.5076246	9.933616	-21.728086	12.832096	2.751604	1428.720932006836
