Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	15.92811	22.412287	91.398766	-2.5883923	179.92062	147.4053	395.51517	-1.4641382	97.02702	554.4	127999	147.77014	6.0603843	187.08244	-125.965355	-149.73195	89.66339	41590.732879161835
33	32.75705	70.981636	280.46985	-14.766229	138.60786	125.30674	355.30258	0.909386	179.76923	505.0	131999	143.17842	5.602192	178.18738	-78.76069	-144.72572	78.266266	42614.667045116425
34	23.148022	43.040768	192.3699	-14.6291	79.11444	86.27746	265.25174	-0.8119581	120.70968	356.75	135999	133.0253	7.0287185	184.1442	-86.443855	-133.98541	69.07513	43448.968059539795
35	42.956284	58.869144	233.91321	-3.8944237	88.27739	93.39446	328.58456	0.059377633	239.94118	292.6	139999	118.88478	5.144181	155.58609	-95.01634	-120.23531	55.714462	44188.17978644371
36	120.81204	118.69848	305.31946	-0.30625254	181.9772	139.11041	424.6915	-4.167555	386.9091	516.9	143999	129.9217	7.34989	169.18935	-84.65601	-132.56847	68.2875	45232.37430906296
37	43.461235	48.997578	183.40732	-3.9091895	102.47056	102.321045	347.4822	-0.80422926	155.21739	345.45	147999	140.54115	5.457285	180.3327	-70.01252	-142.28474	76.36568	46025.014808654785
38	66.6796	76.63628	256.35532	0.1812837	136.52463	138.28047	386.52408	-2.0876174	248.92857	414.55	151999	132.83315	5.1832623	174.47804	-95.54929	-134.33243	74.33315	46933.232094049454
39	50.5603	71.89022	301.17282	-4.9838967	136.62419	142.65729	406.2067	-1.0428458	191.43478	420.7	155999	131.24834	4.8754506	155.67479	-96.006485	-132.82135	69.78854	47854.94827222824
40	84.29481	116.81426	348.1604	-0.3090935	216.25227	143.34349	425.70554	0.23309466	259.29413	568.4	159999	128.21709	4.692837	157.5837	-66.83191	-129.734	66.7775	48983.58804535866
41	43.53064	67.7727	268.62152	-6.1538906	173.02213	148.64017	389.10965	-2.456091	142.64	514.6	163999	125.41453	4.370951	170.3631	-78.75289	-126.80592	59.559223	50009.77589201927
42	197.839	160.49445	413.451	0.7301139	200.21022	140.44084	408.92163	-0.33117682	497.0	570.05	167999	120.50475	3.9744692	149.46016	-66.71813	-121.78287	57.249603	51109.05904173851
43	66.882065	81.44691	329.17532	-1.1696327	183.49664	135.73325	389.59976	-0.78032553	214.6842	534.95	171999	117.08749	4.1702023	168.08487	-106.00842	-118.317856	53.523335	52186.99807834625
44	36.126965	68.02828	308.71606	-7.1885705	180.06676	143.91039	386.28302	-0.90627456	132.41379	609.15	175999	112.2453	4.2291102	185.16107	-77.94833	-113.43136	53.00222	53356.14833474159
45	52.578705	67.03287	224.24455	-0.9333415	198.59573	139.33327	414.01544	9.418452	193.05556	571.15	179999	108.56279	3.9606574	192.64285	-74.36743	-109.742096	47.03928	54475.39600324631
46	65.394485	93.008095	266.4604	-9.566617	214.7833	149.36739	416.93448	-0.30268696	228.15	621.95	183999	107.58403	3.5321352	162.09233	-98.902214	-108.933014	45.95739	55657.42920923233
47	55.273773	85.654945	257.28015	-5.0667243	248.06999	134.4536	429.75226	24.993849	205.3158	683.0	187999	107.00721	3.4906123	153.18694	-69.591835	-108.18346	46.365376	56943.558504104614
48	32.327255	34.431107	119.525475	-1.0381962	274.60724	125.736404	450.0514	-0.6461858	132.78572	742.4	191999	103.43877	3.6993153	154.97467	-112.15566	-104.46569	45.20568	58317.52602458
49	71.596275	80.79024	237.93858	0.4789245	278.91095	150.48389	453.92294	7.2641187	294.73334	752.85	195999	99.42155	3.3046064	132.65137	-73.917625	-100.45344	40.607796	59700.20363378525
50	50.939175	74.2141	287.0035	-0.3934138	336.1592	142.55455	506.39185	12.422127	189.04762	798.95	199999	94.50916	3.7368364	121.124626	-100.60768	-95.28166	36.714108	61153.59554243088
51	55.7172	91.34924	312.87967	-2.826282	325.91092	157.82466	483.41293	-2.544464	199.0	791.75	203999	88.51025	3.2310889	114.48628	-81.08637	-89.39823	34.557564	62580.06600165367
