Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1158.0732	763.91504	-30.92853	-1950.8904	-3.0486648	0.06805435	-2.9686313	-3.1733136	643.6	1.0	3999	-11.866625	6.666107	0.1338052	-31.175922	11.769072	0.11916825	55.93879723548889
2	-990.3113	766.79974	-3.1152687	-2089.0283	-3.0694385	0.055915054	-3.0145378	-3.177806	547.5	1.0	7999	-33.81613	8.436528	0.87117815	-62.25447	33.477272	0.65920985	114.5031225681305
3	-577.983	650.20624	-2.370812	-1986.0436	-3.0924468	0.07774505	-3.0035486	-3.240909	262.0	1.0	11999	-49.785374	10.571143	3.6460958	-81.519226	49.07964	1.727293	175.91537380218506
4	-608.6064	2183.8704	-2.2083256	-13623.288	-3.1736016	0.10725022	-3.0379426	-3.3601067	108.10256	1.0	15999	-64.83648	31.399979	21.047735	-294.74222	63.803135	8.990402	236.59751510620117
5	-3347.5132	3684.4587	-2.5444453	-8697.823	-3.1736267	0.10727909	-3.0379426	-3.3601923	487.55554	1.0	19999	-81.54006	54.015568	24.853207	-449.7372	80.144684	15.03289	297.333566904068
6	-2873.0178	4333.336	-58.746494	-10861.859	-3.1736267	0.10727909	-3.0379426	-3.3601923	332.0	1.0	23999	-102.82734	68.94141	32.468178	-563.3071	101.10943	28.696707	358.34097599983215
7	-2604.458	3256.6838	-2.3322973	-9376.686	-3.0924468	0.07774505	-3.0035486	-3.240909	416.1111	1.0	27999	-125.24472	85.29903	102.48284	-681.7621	122.96818	49.320312	418.9560878276825
8	-5957.3486	3405.9045	-2.1937659	-9449.85	-3.0924468	0.07774505	-3.0035486	-3.240909	800.2	1.0	31999	-141.41307	100.90504	142.05835	-827.8114	138.69456	65.61979	480.60608315467834
9	-6002.591	3496.1904	-335.03348	-11129.578	-3.1736267	0.10727909	-3.0379426	-3.3601923	827.2	1.0	35999	-154.4268	112.24141	177.75967	-882.223	151.25656	88.90011	541.2114944458008
10	-3313.2659	4010.8188	-5.994754	-12069.5625	-3.1736267	0.10727909	-3.0379426	-3.3601923	491.125	1.0	39999	-165.03406	119.98859	181.37358	-824.86163	161.8333	99.42969	601.9376938343048
11	-2980.3171	3239.363	-3.247295	-10146.611	-3.1718013	0.10755802	-3.0351906	-3.3588195	613.1429	1.0	43999	-168.20367	128.42702	204.9965	-751.5525	164.61993	122.72309	662.7576997280121
12	-8071.0	5348.3657	-121.15875	-13247.986	-3.1914172	0.11133601	-3.0499136	-3.389958	781.6	1.0	47999	-168.2815	132.6702	217.77858	-760.1492	164.38797	130.63954	725.4352571964264
13	-2535.3513	3886.1995	-2.1755397	-12339.191	-3.0579526	0.06914737	-2.9751272	-3.1851516	401.55554	1.0	51999	-170.53296	136.89983	196.86417	-784.8326	166.44815	149.07263	787.4841394424438
14	-2063.2104	1854.7388	-2.9762883	-5933.942	-3.1914172	0.11133601	-3.0499136	-3.389958	589.7143	1.0	55999	-167.27536	142.29187	188.46593	-786.72736	162.91989	153.86354	850.0690035820007
15	-4289.7666	1137.8228	-3038.326	-6017.2456	-3.1914172	0.11133601	-3.0499136	-3.389958	919.0	1.0	59999	-162.44037	143.6703	190.31242	-862.11816	158.23769	149.04219	914.3291053771973
16	-2310.2332	1561.0153	-2.2740924	-4663.829	-3.1914172	0.11133601	-3.0499136	-3.389958	633.1667	1.0	63999	-162.23659	141.71353	209.84045	-851.5311	158.26646	154.99484	977.1569147109985
