Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-2894.9941	183.98636	-2619.6616	-3083.7053	-42751.79	42739.992	-12.308669	-86832.234	1000.0	503.4	3999	-17.52575	9.875405	0.15160617	-52.155983	17.385464	0.32392657	115.03379845619202
2	-1574.4065	1621.5809	-4.6092043	-4587.335	-3181.1484	8952.273	-2.039317	-29994.105	445.375	116.5	7999	-53.27459	14.053924	10.278528	-113.50859	52.692883	2.5310507	189.06887340545654
3	-3041.2007	4657.3457	-1.9363065	-13290.767	-3428.6733	9098.634	-2.2546458	-30517.94	396.0	138.2	11999	-88.72357	20.929548	27.037579	-189.85938	87.82553	9.066868	265.771404504776
4	-10053.794	11900.816	-2.7055929	-33430.0	-7946.3604	23831.951	-2.3420134	-79442.21	510.7143	100.9	15999	-140.6061	67.07495	104.173996	-481.7312	138.80916	31.243418	337.3079879283905
5	-9212.633	5182.528	-1474.467	-15277.959	-6123.8853	18338.498	-3.1551518	-61139.348	858.4	104.2	19999	-198.30464	144.492	150.85359	-948.1643	194.41129	105.20424	408.7828435897827
6	-16356.402	11384.338	-4372.5254	-29986.58	-3251.4614	9739.249	-3.2168798	-32469.205	864.75	101.8	23999	-247.62473	215.33325	441.16055	-1323.0234	242.30197	211.9478	479.4076597690582
7	-15499.724	15170.775	-4.496933	-42005.77	-33208.207	25284.783	-1625.6846	-64068.39	594.1429	706.0	27999	-295.51785	293.57968	555.65796	-1641.9	289.086	396.88522	617.3126077651978
8	-19704.111	15883.734	-1412.2158	-45550.918	-1914.8557	2473.8452	-2.930417	-7864.5054	761.3333	156.8	31999	-353.55423	380.6725	784.1949	-1918.451	345.78833	574.12274	694.8673558235168
9	-4770.61	10210.053	-2.745218	-36254.99	-4194.527	12509.6	-2.5274644	-41722.902	229.375	104.7	35999	-404.3643	477.0103	1242.3352	-2118.7922	395.01205	1025.5034	765.9314441680908
10	-6526.896	8854.029	-3.7397027	-23370.826	-39.761986	58.32554	-2.7705173	-161.97546	386.3	9.9	39999	-407.69656	550.1289	1296.3948	-2186.6433	396.17166	1525.5186	826.6136236190796
11	-6809.6143	9310.503	-3.1323037	-28608.258	-3876.2417	6079.8584	-2.595921	-18020.055	421.4	212.6	43999	-376.6934	609.8369	1905.7798	-2153.385	363.40143	1877.4283	909.9439122676849
12	-8079.3037	13408.558	-2.3935044	-44724.64	-2003.2338	2342.4534	-57.240875	-6796.165	407.55554	131.0	47999	-310.12497	648.17804	1936.3859	-2214.5093	295.26382	2116.9348	983.5011587142944
13	-10237.65	11604.039	-2.010135	-29688.27	-6688.63	8664.72	-45.123936	-28871.898	462.625	365.8	51999	-279.58603	670.1894	2045.8463	-2254.8044	263.683	2393.881	1083.1477870941162
14	-3656.7603	7910.195	-2.421284	-28323.22	-6012.0557	17604.232	-2.8065772	-58812.285	244.25	111.7	55999	-238.25688	657.176	2009.8646	-2341.674	222.77036	2492.8328	1154.7441544532776
15	-13262.629	13405.247	-722.02026	-37237.434	-5841.2485	8784.134	-140.86845	-26985.672	626.6667	301.1	59999	-228.0158	642.60767	1966.4497	-2445.0176	213.99763	2353.441	1247.841035604477
16	-7310.8267	9338.009	-51.841843	-28905.25	-5276.4976	8641.227	-2.8602393	-29859.355	581.1429	357.3	63999	-246.68317	637.9985	1992.129	-2453.464	233.35812	2440.6206	1347.1024267673492
17	-2964.2039	4780.567	-3.5973988	-14759.745	-4466.4507	13390.89	-2.7746034	-44639.12	294.45456	100.9	67999	-261.91092	626.5703	1929.9519	-2482.9705	248.39674	2357.747	1418.0097649097443
