Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.00629	397.49518	-2.3660731	-1512.7211	-215.87105	296.47003	-3.4555352	-1059.1798	137.0	165.2	3999	-5.7171044	2.515605	0.57465	-10.874229	4.922972	0.17979914	73.11561512947083
2	-190.12903	372.9131	-2.2527966	-1194.5745	-145.59254	173.50476	-3.3159738	-597.9251	138.25	81.3	7999	-8.50904	1.6617327	-1.1343642	-12.147495	7.104988	0.4278197	134.32977104187012
3	-194.71239	398.07104	-1.6256138	-1479.1804	-132.23732	279.89188	-2.504087	-948.4963	147.76	113.4	11999	-8.255428	2.0855749	-1.5391601	-14.293496	7.2496114	0.32162508	198.38538193702698
4	-134.10103	249.05319	-2.0716572	-949.08746	-76.60296	122.51526	-2.525231	-416.14706	132.09375	68.9	15999	-16.498983	2.8410661	4.4550047	-22.354904	15.765295	1.3523402	258.8058891296387
5	-205.67061	275.6477	-2.2461038	-948.9144	-97.1547	208.95071	-2.6601508	-712.3229	227.52942	117.9	19999	-19.28126	2.7208068	-1.6194475	-24.18774	18.37175	1.9818461	324.5099892616272
6	-180.37012	284.73413	-2.500616	-777.9208	-40.33683	57.24267	-1.8916543	-141.7969	217.73685	31.6	23999	-21.197668	3.0558038	-1.3115885	-25.823792	20.417915	2.2719998	379.7042193412781
7	-141.56146	321.42868	-2.0499449	-1501.1854	-311.72552	439.42395	-1.5122422	-1045.6538	113.388885	307.5	27999	-23.436174	3.1537867	0.13063872	-29.60099	22.79655	2.7067184	467.7811601161957
8	-250.70522	313.3376	-2.3246136	-1044.7395	-110.06102	274.34387	-2.8539867	-926.7532	231.29411	112.7	31999	-26.7327	3.5637636	-0.69643337	-32.192947	25.986	3.8287327	537.5869290828705
9	-118.7862	209.73659	-2.0179846	-952.53516	-227.41394	328.52927	-2.4544969	-1093.6091	114.82353	174.4	35999	-26.319323	4.6466575	2.67732	-32.392445	25.556932	4.2034645	611.7026109695435
10	-145.99681	239.73955	-2.1961892	-982.3344	-718.9463	718.72833	-2.6479056	-1938.364	126.48276	518.9	39999	-25.6221	5.2401366	12.1609955	-32.348644	24.747644	4.5636616	724.1102623939514
11	-391.8355	528.9958	-2.160743	-1475.6359	-453.94986	523.89764	-1.7489934	-1379.4302	295.26666	364.3	43999	-23.612658	4.4816823	5.4170628	-29.486422	22.729546	3.4513485	818.4771928787231
12	-154.11652	351.68063	-1.8979818	-1265.376	-337.2614	472.088	-1.9095979	-1162.5594	126.6875	297.2	47999	-25.171122	5.077972	11.78529	-31.961756	24.44491	3.8151445	907.8174135684967
13	-298.8763	291.4051	-2.4042263	-1031.0195	-328.95575	363.50732	-2.279874	-978.6782	247.0	246.2	51999	-25.130856	6.465412	17.388363	-32.318653	24.29826	5.069614	988.8367195129395
14	-102.62432	221.11932	-2.169928	-1028.4104	-240.84189	368.66562	-2.302475	-969.6119	90.11628	243.8	55999	-25.676668	5.8835983	9.427836	-33.078716	24.954277	4.6892085	1069.2448604106903
15	-207.64764	342.65088	-2.4428205	-966.69836	-151.1098	264.71317	-2.3734674	-826.834	211.58824	163.7	59999	-26.708513	6.2845373	5.233421	-34.266193	25.919048	5.1451616	1140.995966911316
16	-272.948	375.2953	-1.5060668	-947.7124	-79.138626	224.93771	-2.342007	-753.89886	282.0	83.3	63999	-25.02451	6.075869	4.8420734	-33.942505	24.067707	5.324169	1203.550205230713
17	-102.65753	203.97504	-2.1166282	-924.73804	-182.65948	282.65335	-2.2592525	-955.20624	96.6875	164.7	67999	-24.317665	5.249387	3.3402348	-31.10987	23.574778	3.9116168	1275.2219712734222
18	-149.7756	262.64023	-1.9253277	-986.60925	-142.5426	212.10579	-2.3218858	-716.8031	142.58824	146.5	71999	-25.148624	5.8268948	6.552517	-31.77352	24.38291	4.2831125	1345.209025144577
19	-139.0656	304.50452	-2.5673625	-1164.6184	-108.658936	161.90816	-2.892984	-498.12973	132.11111	102.2	75999	-25.99657	6.0189376	7.00748	-33.237484	25.280527	4.526249	1411.0549042224884
20	-140.61803	234.93791	-2.38183	-910.9741	-95.75926	140.32462	-1.8569483	-374.20538	155.68965	97.4	79999	-27.02395	5.9185033	4.3071637	-33.876728	26.335606	4.6437635	1475.52614569664
21	-80.56063	168.71133	-1.943315	-726.61914	-51.94923	72.15007	-1.801372	-222.59792	86.425	51.5	83999	-27.823105	6.0899096	5.7478466	-35.591957	27.151592	4.7948723	1534.5381226539612
22	-127.697655	222.80658	-1.7706702	-1004.0856	-74.314766	90.932274	-2.438457	-302.5571	120.8421	61.8	87999	-28.372774	5.9071803	6.469989	-34.964306	27.690645	4.7422423	1594.4376549720764
23	-113.246056	224.6213	-2.145894	-1038.1309	-183.76608	252.65424	-2.4121764	-612.6522	98.89744	175.2	91999	-28.808083	5.936726	6.4456925	-35.750534	28.151691	5.0086913	1667.0071094036102
24	-160.56754	280.8625	-1.9336506	-1021.6508	-80.4621	168.4021	-2.1676712	-577.85736	148.07692	81.5	95999	-29.737644	6.372696	6.2828965	-36.321148	29.123009	5.4677563	1729.428245306015
25	-136.4088	259.69763	-2.106569	-962.11365	-40.07162	47.470123	-2.2174942	-126.73762	141.66667	41.1	99999	-31.209707	6.622016	4.1842523	-38.34895	30.62291	5.82174	1787.0982503890991
26	-70.79209	181.46165	-1.7548312	-831.4464	-142.12065	220.54076	-2.793621	-699.0598	79.43137	164.9	103999	-32.02559	6.97492	4.3790693	-39.172634	31.413372	6.5118794	1858.6997027397156
27	-92.265396	204.18738	-2.3391998	-906.6862	-18.803366	31.119114	-2.1264942	-90.54465	95.95	13.1	107999	-32.286797	7.2978053	7.1549435	-39.501076	31.665312	6.7943196	1913.4349739551544
28	-114.65281	228.01183	-1.7441349	-808.756	-71.63048	191.60034	-2.0084627	-645.5971	128.0	83.1	111999	-32.053715	7.31606	8.029055	-39.69003	31.434809	6.832167	1975.8301854133606
29	-131.33029	228.65846	-1.7853163	-744.96716	-153.20097	244.35516	-2.244804	-826.25464	150.96153	168.8	115999	-32.20791	7.367049	7.0066085	-39.501053	31.60212	6.73659	2047.9185111522675
30	-121.659386	280.26196	-1.8096198	-841.4865	-79.78594	230.11914	-1.61047	-770.1367	144.25	101.1	119999	-32.57662	7.3125405	6.6341257	-39.839214	32.001316	6.764722	2112.71311712265
31	-167.27803	296.74057	-2.59104	-826.5558	-78.75769	95.08314	-3.0184302	-312.88098	197.44444	70.6	123999	-33.318207	7.512734	7.7759223	-40.625603	32.74794	6.964554	2173.9814069271088
32	-180.16966	293.0281	-2.1861148	-871.4279	-108.961754	242.2561	-2.1383667	-818.55664	204.18182	119.7	127999	-33.299366	7.6197586	6.038797	-40.728825	32.69469	7.2064266	2240.791662454605
33	-212.66866	334.69308	-2.176823	-1143.1493	-93.326004	245.37251	-2.1212535	-827.1053	191.4	90.6	131999	-33.288704	7.6379223	7.7975593	-40.663677	32.708336	7.3992987	2306.456043958664
34	-100.60804	228.63786	-2.0371542	-1056.1772	-125.596375	299.63443	-2.6513977	-1019.0973	89.695656	119.4	135999	-33.05943	7.517049	6.988132	-40.786964	32.456852	7.2598066	2376.213700056076
35	-133.59576	258.4073	-2.0745373	-1029.1052	-98.05992	267.85263	-2.2136118	-900.87354	129.48	95.9	139999	-32.925667	7.358577	4.4498677	-40.146656	32.319965	7.1189604	2442.920190811157
36	-89.29566	191.90344	-2.1568947	-980.02295	-53.74933	79.95903	-2.2524512	-250.79245	77.68965	43.3	143999	-32.801266	7.330908	5.021241	-40.397736	32.217804	7.102249	2503.0455923080444
37	-148.52924	262.75266	-1.9493245	-931.1704	-35.662193	34.418873	-2.4688656	-93.832886	143.9	28.8	147999	-32.91897	6.9918027	2.618105	-40.681458	32.355297	6.7595234	2561.994608640671
38	-118.14494	274.15607	-2.0699654	-969.8736	-284.00003	350.06427	-2.2612436	-906.79504	119.39286	288.8	151999	-33.397926	7.1646624	9.969422	-41.56679	32.846493	6.8758187	2653.603503227234
39	-149.32838	240.06497	-1.8986018	-957.61005	-137.14926	263.92093	-2.6386878	-683.8543	131.44118	111.6	155999	-33.242367	7.318533	11.37911	-41.43054	32.633892	7.1680555	2724.4360299110413
40	-173.64384	313.55923	-2.4262724	-1157.9076	-97.60483	207.81621	-2.0263662	-680.2921	150.81482	98.9	159999	-32.869007	7.016135	6.617969	-40.664112	32.276657	6.696998	2791.014079093933
41	-119.50898	251.45471	-2.1569133	-1106.2657	-177.21346	265.09897	-2.7230976	-634.8446	117.57143	179.3	163999	-33.041428	7.184044	10.655079	-41.086807	32.46302	6.7753983	2868.8005414009094
42	-166.78891	301.6208	-2.2949533	-1011.7212	-313.1236	473.36716	-2.2808738	-1081.8855	162.31035	300.9	167999	-32.791016	7.155408	11.017657	-41.412323	32.19105	6.640991	2960.138426065445
43	-117.48808	265.2044	-2.1882677	-995.4826	-307.02536	379.8867	-2.3187377	-910.18677	121.37037	325.9	171999	-32.950333	7.1090865	5.542416	-41.5096	32.396393	6.5531054	3053.750055551529
44	-79.26729	186.12547	-2.1944096	-901.50464	-92.7819	112.52099	-2.1404157	-332.00653	79.11539	87.4	175999	-33.282326	7.1015863	12.094882	-40.959255	32.71471	6.858365	3120.9920439720154
45	-192.2296	297.84174	-2.225088	-914.22864	-103.193504	248.4821	-2.469095	-841.5861	212.18182	110.8	179999	-33.45888	7.2506275	9.610722	-43.037888	32.91278	6.757048	3188.5877935886383
46	-92.21807	215.50577	-1.7491144	-907.39667	-25.56857	34.72948	-2.2505393	-101.73215	89.88636	18.5	183999	-33.883053	7.4184566	6.3256674	-42.918236	33.351242	6.690478	3244.8281812667847
47	-109.58297	227.77678	-1.9339902	-841.2894	-153.58781	299.4683	-2.5213075	-757.9976	114.84375	178.7	187999	-33.96381	7.476497	4.508048	-43.01159	33.375317	7.1107254	3319.4322407245636
48	-156.8234	290.30026	-2.1634681	-908.6441	-122.73796	256.92535	-2.3861394	-873.1804	158.21428	117.8	191999	-34.071304	7.5032873	6.1657705	-41.416378	33.55007	6.9911437	3386.5880737304688
49	-149.1972	282.95184	-2.3039331	-874.3665	-140.03372	239.80975	-2.4661453	-776.5637	161.12	154.7	195999	-35.027943	7.7812467	9.08252	-43.451065	34.550655	7.333157	3458.0518012046814
50	-90.594475	192.5342	-2.1419184	-797.4458	-102.54706	239.68544	-2.1060336	-811.58374	91.023254	111.1	199999	-36.12379	7.905444	8.008064	-44.09981	35.644444	7.6860437	3525.321644306183
